,Контингент (индификатор),Название проекта (Описание),Дата выхода,Цена,"Производитель, разработчик","Покупатель, заказчик",Участник торгов
408,"(Конференция: CGN-20220824003), Номер объекта: CGN-20220824003, идентифицированные лица:","Показать результаты, Надзор за осуществлением данного тендерного проекта /.",2022-10-14,, электрическая компания, &quot; Чайна инжиниринг лимитед &quot;, &lt; &lt; Чайна энтропия &gt; &gt;
409,(Конференция: CGN-20220505003),"BT Project LOT130D NI фильтры, В данном проекте BT LOT130D NI-фильтры (номер тендера: CGN-20220505003) для определения победителей проекта, например, Наблюдение за данной тендерной программой",2022-07-25,10000000, Hong Kong New Energy Engineering," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
410,,"Циркуляр результатов, Проект CW на 2021-2024 гг. (заявочный номер проекта: CGN-20211009002) для определения проекта., Название проекта: CW Project 2021-2024, Наблюдение за данной тендерной программой",2023-02-01,47528479,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
411,,"Внутренний элемент блока 1 и 2 LOT120Eb (номер тендера: CGN-20210930002) для проекта QX, определяющий, что бенефициаром проекта является:, Проект 1 и 2-этажный блок LOT120Eb, Наблюдение за данной тендерной программой",2022-01-10,"104253000, 103858078",," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
412,CGN-202107060003,"61,2 МВт ветряная машина для проекта 61,2 МВт, башни для подвески, 61,2 МВт - ветряная машина для проекта 61,2 МВт, башни для подвески, идентифицирует участников проекта как, Наблюдение за осуществлением данного тендерного проекта /",2021-08-23,1066363, Hong Kong, &quot; Чайна инжиниринг лимитед &quot;, Китайская компания по производству новой энергии
413,,"Проект строительства временной канализационной станции в Австралии, Циркуляр результатов, Название проекта: Временная канализационная станция в рамках проекта &lt; &lt; Сан-Франциско &gt; &gt;, Наблюдение за данной тендерной программой",2022-10-21,8521121,," Китайская ядерная промышленность,  &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
414,,"100 МВт наземной ветровой электростанции 110 КВ на строительство линии (перезакупка), 100 МВт наземной ветровой электростанции 110 КВ (перезапрос) (номер тендера:, Наблюдение за данной тендерной программой",2022-12-13,21193023, Hong Kong Hong Kong," первоначальная компания &lt; &lt; Синьцзян лимитед &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
415,"Номер: CGN-202206280002-N1, идентифицированные лица:","65 МВт проектный ветряный комбинатор проекта 65 МВт для установки (перезаказ), Результаты, Ветряная установка проекта 65 МВт в рамках проекта &lt; &lt; Синьхуа &gt; &gt; (перезакупка), Надзор за осуществлением данного тендерного проекта /.",2022-09-20,8279999,, &quot; Чайна инжиниринг лимитед &quot;,
416,,"Проект CW по проектным линиям водопровода через высокоскоростные железнодорожные проекты, Циркуляр результатов, В рамках проекта CW проходит линия водопровода через высокоскоростную железнодорожную инженерию (номер тендера: CGN-20230425001) для определения участника проекта., Наименование проекта: проект CW пересекает линии дренажной трубки, Наблюдение за данной тендерной программой",2023-06-19,12881952,," &lt; &lt; Энго &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
417,(Контингент: CGN-202105190010),"Обобщение результатов работ по циррозу на дорогах в Южно-Мугской ветряной электростанции в порту Гуанси, Проект по циркуляции дорог в южном ветроэлектрическом порту Гуанси (пункт 1) (заявочный номер проекта: CGN-202105190010), Проект: проект по циркуляции дорог в южном ветряном поле в районе Гуанси (пункт 1), Наблюдение за данной тендерной программой",2021-07-07,13823064,," &lt; &lt; Инжиниринг 2 &gt; &gt;,  &lt; &lt; Саут-Ветер &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
418,(Контингент: CGN-202105240011),"В новом районе Южно-Китайского моря в городе Вайхай объявлены результаты генерального подряда на PC проекта по хостингу энергии CBD, Консорциум PC для проекта по хостинга энергии CBD в новом районе Южно-Китайского моря, Бенуихай (заявочный номер проекта: CGN-202105240011) для определения медианы проекта, Проект: Генеральный контракт PC на проект по хостингу энергии CBD в новом районе Южно-Китайского моря, Вайхай, Наблюдение за данной тендерной программой",2021-07-15,73810006,," &lt; &lt; Чайна Янь &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
419,(Контингент: CGN-20230116003),"Закупка в рамках проекта CW LOT120 Eb (внутриконструкция текучести) (номер тендера: CGN-202301160003) для определения проекта, Наблюдение за данной тендерной программой",2023-03-23,234112400, Шанхайский завод No 1," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
420,,"Проект SK &lt; &lt; LOT75C &gt; &gt;, Циркуляр результатов, Проект SK LOT75C (дизельный генератор SBO) (номер тендера: CGN-202303150003) для определения проекта, Название проекта: проект SK LOT75C (дизельный электрогенератор SBO), Наблюдение за данной тендерной программой",2023-05-30,59980000,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
421,(Контингент: CGN-20220210006),Наблюдение за данной тендерной программой,2022-04-21,2663580,," компания с ограниченной ответственностью &lt; &lt; Ганч &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
422,,"Аналитические приборы и оборудование для предварительной обработки образцов на передней станции АЭС &lt; &lt; Красная река &gt; &gt;, Циркуляр результатов, Закупка неаналитических приборов и оборудования для предварительной обработки образцов на передней станции атомных электростанций (второе предложение) (номер тендера:, Наименование проекта: Закупка оборудования для анализа и предварительной обработки образцов на передней станции АЭС &lt; &lt; Красная река &gt; &gt; (второе предложение), Наблюдение за данной тендерной программой, Покупатель: Ляонин Красный Поток",2023-08-01,2687400,,",  &quot; Чайна инжиниринг лимитед &quot;",
423,,"Объявленные результаты в проекте &lt; &lt; Оборудование серверов для крепления &gt; &gt; (переторг), Проект усовершенствования сервера приложений для атомных рельефов (перезаключение) (номер тендера: CGN-20221207002-N1), Проект: Проект по совершенствованию серверов приложений &lt; &lt; Красная река &gt; &gt; (перезаключение), Наблюдение за данной тендерной программой, Покупатель: Ляонин Красный Поток",2023-05-07,6333000,, &quot; Чайна инжиниринг лимитед &quot;,
424,(Контингент: CGN-202205230004),"В рамочном контракте на проектирование строительного проекта на базе ядерной энергетики в заливе Гранд-Азия (2022-2025 годы) указаны результаты, Рамочный контракт на проектирование строительного проекта на базе атомных электростанций в заливе Бенгоа (2022-2025 годы) (номер тендера: CGN-202205230004), Наблюдение за данной тендерной программой",2022-07-04,2888800,," &lt; &lt; Гуандун атомный коммерсант лимитед &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
425,(Контингент: CGN-202103160004),"39,6 МВт расскажет о результатах топ-проекта распределенного ветряного производства 39,6 МВт, Проект 39.6 МВт для децентрализованного проекта ветроэнергетики (запрос No CGN-20210316004) для определения проекта, Проект: 39,6 МВт децентрализованный проект ветроанализа, Наблюдение за данной тендерной программой",2021-07-27,1480000,," &lt; &lt; Синьхуа &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
426,(Контингент: CGN-20230215002),"Объявлены результаты закупок основного оборудования для замены джилона в северном районе Гуансицина, Закупка основного оборудования для замены джилона в северном районе Хинсицина (Конференция No CGN-20230215002) для определения проекта, Наблюдение за данной тендерной программой",2023-05-11,2936000, Jiangsu Huawei," &lt; &lt; Чинбэйз лимитед &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
427,CGN-20211119008-N1,"Наблюдение за осуществлением данного тендерного проекта /, 2005 год",2022-01-27,2691773, Yelcomenda, &quot; Чайна инжиниринг лимитед &quot;,
428,(Контингент: CGN-20190927001),"Объяснение результатов работ по ремонту здания &lt; &lt; Чайна Инжиниринг &gt; &gt; (пункт 2), Реконструкция здания китайской и китайской ядерной инженерии (пункт 2) (номер тендера: CGN-20190927001), выбранный заказчик, Наблюдение за осуществлением данного тендерного проекта /",2022-05-26,,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
429,,"Проект строительства AD, Циркуляр результатов, Наименование проекта: проект AD, Наблюдение за данной тендерной программой",2023-02-28,3867750,, &quot; Чайна инжиниринг лимитед &quot;,",  Шэньчжэнь"
430,(Контингент: CGN-20210906005),"Проект Янцзы в сочетании с проектом LOT12D (оборудование для отопления), Проект Бенянцзян, в комплекте с проектом LOT12D (оборудование для отопления) (номер тендера: CGN-20210906005), был определен следующим образом:, Наблюдение за данной тендерной программой",2021-11-05,6780000,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;", Jiangang Hong Kong
431,(Контингент: CGN-20210910004),Надзор за осуществлением данного тендерного проекта /.,2021-10-18,9599689, Tyzing Electronics Ltd. и Tyzing Smart Sun Technologies Ltd., &quot; Чайна инжиниринг лимитед &quot;, &lt; &lt; Синьхуа &gt; &gt;
432,(Контингент: CGN-202105180003),"Покупка промежуточного торнадо LOT111F в блоке 1 и 2 проекта тайвань, Закупка временных погрузчиков LOT111F для проекта 1 и 2 (заказ No CGN-20210518003) для определения проекта, Наблюдение за данной тендерной программой",2021-06-30,16771875, Great Wall Street Journal," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
433,(Контингент: CGN-20230606009),"Проект EPC в области комплементарного фотоэлектрического комплементарного фотоэлектрического компаса (No тендера: CGN-, Надзор за осуществлением данного тендерного проекта /.",2023-07-12,48015554,, &quot; Чайна инжиниринг лимитед &quot;, Hong Kong
434,,"Проект LOT140L &lt; &lt; Ядерный остров &gt; &gt;, Проект резолюции, Циркуляр результатов, LOT140L для измерения и ограничения трафика (перезапрос) в рамках проекта LF (номер тендера), Наименование проекта: LOT140L для измерения трафика и ограничения потока (перезапрос), Наблюдение за данной тендерной программой",2022-12-30,15608120,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
435,(Контингент: CGN-202303240003),"LF-проекты 5 и 6 LOT102E Обозначение результатов в системах обычного островного контроля, LOT102E для ядерного острова и обычной островной вспомогательной системы (номер тендера: CGN-202303240003, Наблюдение за данной тендерной программой",2023-07-25,5191308,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
436,CGN-202105190013,"200 МВт ветряной электрической линии и установкой коробки в пункте B, 200 МВт ветряной электрической линии и установочный пункт B для установки коробок, чтобы определить, кто будет выбран в рамках проекта:, Наблюдение за осуществлением данного тендерного проекта /",2021-08-06,22300212, Summit New Energy, &quot; Чайна инжиниринг лимитед &quot;, China &apos; s New Energy Co. Ltd.
437,,"Проект строительства и обслуживания подсистемы измерения подпроекта BZ, Циркуляр результатов, Проект строительства и обслуживания подсистемы управления измерениями в рамках проекта BZ (Конференция No CGN-20221124005) для определения проекта, Название проекта: Проект строительства и обслуживания подсистемы измерения подпроекта BZ, Наблюдение за данной тендерной программой",2023-01-06,1239350,," &lt; &lt; Хэбэй &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
438,(Конференция: CGN-20210706006),"200 МВт 8-й ветровой фермы B сектора B на китайском мосту, Ветряная линия B проекта 200 МВт на восьмом ветряном электрическом участке моста &lt; &lt; Север &gt; &gt; в Китае и Китае (номер тендера: CGN-20210706006) для определения этого сегмента., Проект: Ветряная установка проекта 200 МВт в секторе В восьмого ветряного электростанции &lt; &lt; Северный мост &gt; &gt;, Наблюдение за данной тендерной программой, Покупатель: 2-я ветряная электроэнергия в штате Кангуа",2021-08-12,00000414,," &lt; &lt; Анда &gt; &gt; , город Уланчаб,  &quot; Чайна инжиниринг лимитед &quot;",
439,(Контингент: CGN-202307060013),"150 МВт сельскохозяйственного (лесного) фотоэлектрического проекта &quot; EPC &quot;, 150 МВт сельскохозяйственного (лесного) фотоэлектрического проекта &lt; &lt; Электроэлектрическая электростанция &gt; &gt; , проект &lt; &lt; Электроэлектрическая электростанция &gt; &gt; , проект &lt; &lt; Синьхуа &gt; &gt; (Конференция No: CGN-CGN), Надзор за осуществлением данного тендерного проекта /.",2023-08-24,167751534,, &quot; Чайна инжиниринг лимитед &quot;, China and China New Energy (Southчан) Ltd.
440,(Контингент: CGN-20220719006),"Генеральный контракт на проект PC для проекта 20-мегаваттной электростанции CGN-20220719006, Наблюдение за данной тендерной программой",2022-09-16,38902614,," &lt; &lt; Чайна энтропия &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
441,,"Проект по созданию механизма автоматической замены термопаров на атомных электростанциях, Циркуляр результатов, Разработка устройства для автоматической замены термопаров на атомных электростанциях (номер тендера: CGN-20220616003) для определения проекта, Название проекта: Разработка устройства для автоматической замены термоэлектрической куколы АЭС, Наблюдение за данной тендерной программой",2022-08-17,1460000, Jiangang Lent," &lt; &lt; Чайна атомная электроника &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
442,(Контингент: CGN-202205110005),Наблюдение за данной тендерной программой,2022-08-12,30620000,," &lt; &lt; Чайна энтропия &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
443,,"Проект: блок 1 и 2 блока LOT120Kb, Наблюдение за данной тендерной программой",2022-01-10,2752724, Great Sot Company," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
444,,"Проект установки объектов проекта &quot; Гуандун &quot; (пункт I), Циркуляр результатов, Инсталляция объектов проекта LF в Гуандуне (пункт I) (номер тендера: CGN-20211216003) для определения проекта, Наименование проекта: проект установки объектов проекта LF в Гуандуне (пункт I), Наблюдение за данной тендерной программой",2022-06-23,1291230000,," Китайская ядерная промышленность 23 строительства,  &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
445,(Контингент: CGN-202204140001),"Ветряная станция в долине Пинцзяо (включая расширение терминала) для проведения съемки результатов закупок, Надзор за осуществлением данного тендерного проекта /.",2022-06-15,,, &quot; Чайна инжиниринг лимитед &quot;,
446,,"Проект BJ 1, 2-й блок LOT44Ab Обыкновенная сплавная сплавная сплавная сталь и бесшовная сталь с углеродным покрытием (переторг), Проект BJ No 1 и 2 LOT44Ab Обычная сплавная сплавная сплавная сталь и труба для улавливания углеродной стали (перенаправлено) (номер тендера), Наблюдение за данной тендерной программой",2021-07-14,15847062,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
447,,"Циркуляр результатов, Название проекта: Закупки систем ДИ, Наблюдение за данной тендерной программой",2022-06-27,2108986,," Китайская академия ядерных исследований,  &quot; Чайна инжиниринг лимитед &quot;",
448,(Контингент: CGN-202109130004),"Закупка оборудования для компенсации за неудобство в провинции Наньцзян (проект торгов: CGN-20210913004), Надзор за осуществлением данного тендерного проекта /.",2021-10-18,1352900, Sandong-Tek Electric," &lt; &lt; Хинаси энтерпрайз &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
449,CGN-202201180004,"100 МВт в сервисе по проектированию ветроэнергетики 100 МВт, 100 МВт проект по проектированию ветроэнергетики с новой энергией Юньнань в Китае, чтобы определить, среди участников проекта:, Наблюдение за осуществлением данного тендерного проекта /",2022-02-23,20000000,, &quot; Чайна инжиниринг лимитед &quot;,
450,(Контингент: CGN-20230410005),"Закупка шкафов небезопасного уровня для системы управления прибором DCS на атомных электростанциях (конец 01 - вне шкафа небезопасной системы управления DCS на атомных электростанциях), Конкретная информация о результатах закупок (пункт 1), Закупка незащищенных шкафов для маломасштабной системы управления DCS на атомной электростанции (размер 01 - Небезопасная система управления DCS на АЭС), Проект: Закупка незащищенных шкафов для маломасштабной системы управления DCS на атомных электростанциях, Наблюдение за данной тендерной программой",2023-06-30,2847000, 9 Jiang Kong Company," &quot; Хинли инжиниринг инжиниринг &quot; , Пекин,  &quot; Чайна инжиниринг лимитед &quot;",
451,(Контингент: CGN-20220225002),"LF-проект LOT190Bb Объяснить результаты клапанов по регулированию воды, Наблюдение за данной тендерной программой",2022-04-28,10350000, Jiangian Jiangang Trial Holdings," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
452,,"Совместное исследование и разработка автоматической погрузки и разгрузки контейнеров (перезаключение), Проект резолюции, Циркуляр результатов, Совместная разработка (перезакупка) автоматической погрузки и разгрузки контейнера NAC-STC (просмотр тендера) (номер тендера: CGN-202112200001-N1), Название проекта: Совместная разработка автоматической погрузки и разгрузки контейнеров NAC-STC (перезаключение), Наблюдение за данной тендерной программой",2022-04-18,2495900,," &lt; &lt; Гранд-Ленд &gt; &gt;,  &lt; &lt; Чайна инк. &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
453,(Контингент: CGN-20210824002),Надзор за осуществлением данного тендерного проекта /.,2021-10-15,739402,, &quot; Чайна инжиниринг лимитед &quot;, &lt; &lt; Чайна Хинан &gt; &gt;
454,(Контингент: CGN-202203300010),Надзор за осуществлением данного тендерного проекта /.,2022-09-15,,, &quot; Чайна инжиниринг лимитед &quot;,",  China and China New Energy Sound"
455,(Контингент: CGN-202104290013),"1-й этап проекта «Северная ветряная ферма» в Гуанси, 1-й проект по строительству дорог, платформ, ветряной базы и коробки (запрос No: CGN-CGN), Надзор за осуществлением данного тендерного проекта /.",2021-06-17,41988888,, &quot; Чайна инжиниринг лимитед &quot;, China and China New Energy Entertainment
456,,"Результаты, Название проекта: Проект Умный объект проекта HLF, Наблюдение за данной тендерной программой",2022-01-07,,,",  &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
457,,"Закупка и установка кухонного оборудования в башне AB (CGN-, Результаты, Название проекта: Закупка и установка кухонного оборудования в башне AB в здании с ядерными технологиями, Наблюдение за осуществлением данного тендерного проекта",2023-04-18,23999999,, &quot; Чайна инжиниринг лимитед &quot;,",  Шэньчжэньское управление по организации общественного питания"
458,,"LF-проект LOT52Bb - фильтры для охлаждающей воды и фильтры для конденсации, Проект LOT52Bb, вспомогательный фильтр для охлаждения воды и фильтр для конденсации (номер тендера: CGN-20210917008-N1), Наблюдение за данной тендерной программой",2022-07-19,3583800, Jianzsu Electric Company," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
459,(Конференция: CGN-20220606004),Наблюдение за данной тендерной программой,2022-08-02,,, &quot; Чайна инжиниринг лимитед &quot;,
460,(Контингент: CGN-20220609003),"Объяснение результатов в проекте по закупке оборудования в рамках проекта &lt; &lt; Ниндер &gt; &gt;, Закупочная программа по модификации системы защиты (первая партия оборудования) Беннинга (закупка тендерного проекта: CGN-20220609003), Наблюдение за данной тендерной программой",2022-07-29,3340000,," &quot; Фуджянинд энтерпрайз лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
461,,"Проект &lt; &lt; Генерация проектных работ по расширению водоемов &gt; &gt;, Циркуляр результатов, Генеральный подрядчик по проектированию работ по расширению водоемов в рамках проекта BJ (номер тендера: CGN-20210913005) для определения проекта, Наименование проекта: генеральный контракт на проект строительства для расширения водоемов проекта BJ, Наблюдение за данной тендерной программой",2023-02-01,14881155,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
462,(Контингент: CGN-20230320003),"30,4 МВт ветроэнергетического проекта &quot; EPC &quot;, 30,4 МВт рассредоточенного ветроэнергетического проекта &quot; EPC &quot; (заявочный номер: CGN-20230320003), Надзор за осуществлением данного тендерного проекта /.",2023-05-06,96748256,, &quot; Чайна инжиниринг лимитед &quot;, &lt; &lt; Четверка &gt; &gt;
463,(Контингент: CGN-20220318001),Надзор за осуществлением данного тендерного проекта /.,2022-05-17,496347050,, &quot; Чайна инжиниринг лимитед &quot;,
464,(Контингент: CGN-202303200011),"500 МВт наземной ветроэнергетической базе в Цинхай, 500 МВт наземного ветроэнергетического проекта на базе Голубого моря (номер тендера: CGN-202303200011) определен, Надзор за осуществлением данного тендерного проекта /.",2023-05-10,69136786, China Electric Company, &quot; Чайна инжиниринг лимитед &quot;, &lt; &lt; Чайна Хиросима &gt; &gt;
465,(Контингент: CGN-202301160007),"Проект BJ LOT111Q (BQT Porter of Region), Проект BJ LOT111Q (BQT-компания эксплуатируемый районный погрузчик) (номер тендера: CGN-202301160007), определяющий этот проект, Наблюдение за данной тендерной программой",2023-03-14,2300000, Hong Kong Kong," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
466,(Контингент: CGN-20230605002),Надзор за осуществлением данного тендерного проекта /.,2023-07-26,,," Nanjing Control System,  &quot; Чайна инжиниринг лимитед &quot;"," например, &lt; &lt; Дон Сюйп Энергия лтд. &gt; &gt;"
467,,"Проект по модификации трансмиссивного генератора Яньцзян (четвертый прием), Проект, Циркуляр результатов, Проект по модификации трансмиссивного двигателя в Беньянге (четвертый тендер) (номер тендера: CGN-20211109005-, Наименование проекта: проект по модификации трансмиссивного оборудования для константа Яньцзян (четвертый тендер), Наблюдение за данной тендерной программой",2022-07-18,4851000, Great Wall Street Journal," &quot; Янцзян энтерпрайз лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
468,(Контингент: CGN-202111120004),"(номер тендера: CGN-202111120004) был определен следующим образом:, Надзор за осуществлением данного тендерного проекта /.",2022-01-06,255778795, Crysco Energy, &quot; Чайна инжиниринг лимитед &quot;, Шанхайская компания &lt; &lt; Синьхуа &gt; &gt;
469,(Контингент: CGN-20210506002),Наблюдение за данной тендерной программой,2021-07-14,39157000,," &lt; &lt; Чайна энтропия &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
470,,"Проект HLF &quot; Контент на воду &quot; и проект &quot; Инженерная защита от просачивания &quot;, Циркуляр результатов, Проект HLF, касающийся контента воды и защиты от просачивания (номер тендера: CGN-202103310007), определяет, что среди участников проекта были выбраны такие лица, как, Наименование проекта: проект HLF &lt; &lt; Контент на воду &gt; &gt; и проект &lt; &lt; Интенсивность &gt; &gt;, Наблюдение за данной тендерной программой",2023-02-07,652885000,," &quot; Чайна инжиниринг 4 &quot;,  &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
471,(Контингент: CGN-202204080013),"Закупка системы хранения фосфатных литий-ионных аккумуляторов в 2022 году - информация о результатах в пункте 2, Закупка системы хранения фосфатных аккумуляторов 2022 года в рамках тендерного проекта No CGN-2, Наблюдение за данной тендерной программой",2022-08-12,816166386, Jiang Zong Zong," &lt; &lt; Чайна энтропия &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
472,(Контингент: CGN-20220509005),"Результаты проекта по обеспечению безопасности на местах с сентября 2022 года по август 2025 года, Проект обеспечения безопасности на месте в период с сентября 2022 года по август 2025 года (номер тендера: CGN-20220509005), Проект: Проект по обеспечению безопасности на местах, сентябрь 2022 года -- август 2025 года, Наблюдение за данной тендерной программой",2022-09-08,33541366," China &apos; s Security Services, Beijing"," &quot; Фуджянинд энтерпрайз лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
473,,"Специализированная проверка качества третьей стороны на атомном электростанции Порт-оф-Си, Проекты проектов, Циркуляр результатов, Проект специализированных услуг по тестированию качества для третьих лиц, работающих на атомных электростанциях Порт-оф-Спейн (запрос No: CGN), Название проекта: Проект специализированных услуг по тестированию качества для третьих сторон на предприятии &lt; &lt; Хинси &gt; &gt;, Наблюдение за данной тендерной программой",2023-02-01,1351032,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
474,,"LOT101C - неядерный магнитный плавучий переключатель проекта 1-2., Проект резолюции, Циркуляр результатов, Магнитный переключатель неядерного класса LOT101C для блока 1-2 проекта Бентампинга (номер тендера: CGN-20210514002), Название проекта: Неядерный магнитный плавучий переключатель группы LOT101C проекта 1-2, Наблюдение за данной тендерной программой",2023-02-07,3419380, Shanghai Stars," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
475,"(Конференция: CGN-20230314009), Номер проекта: CGN-20230314009, идентифицированные лица:","Оборудование), Надзор за осуществлением данного тендерного проекта /.",2023-04-23,,," &lt; &lt; Четверка &gt; &gt; в Пекине,  &quot; Чайна инжиниринг лимитед &quot;", China and China New Energy Shong Co.
476,,"LF Проект LOT12D (Специальное оборудование для обработки воздуха CI-BOP), Циркуляр результатов, Проект LOT12D (компонент CI-BOP и вспомогательные устройства) (номер тендера: CGN-20221107005), Наименование проекта: LOT12D (авиационный блок CI-BOP и вспомогательное оборудование), Наблюдение за данной тендерной программой",2022-12-23,26981920,," &lt; &lt; Гуандун Чжун &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
477,"(Контингент: CGN-202203310002), Номер: CGN-202203310002, идентифицированные лица:","Результаты, Надзор за осуществлением данного тендерного проекта /.",2022-05-31,782300," Sandong-Tek Electric,  Texas Song Energy Ltd.", &quot; Чайна инжиниринг лимитед &quot;,
478,(Контингент: CGN-20210325008),"Обнародование результатов в трех коробках LOT88Ac, Наблюдение за данной тендерной программой",2021-07-21,4698888, Shanghai Electronic Suite," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
479,(Контингент: CGN-202211150006),"Интегрированная оптико-волосная комплексная комплексная база &lt; &lt; Ван Ага &gt; &gt; в районе комплексного развития сельского хозяйства в Цзянсу, Контроль за осуществлением проекта по созданию фотоэлектрических комплексов в районе комплексного развития сельского хозяйства Бен Цзянсу (No тендера: CGN), Надзор за осуществлением данного тендерного проекта /.",2023-03-30,1264000, ZTE, &quot; Чайна инжиниринг лимитед &quot;," например, &lt; &lt; Дон Сюйп Энергия лтд. &gt; &gt;"
480,(Контингент: CGN-202208310008),Надзор за осуществлением данного тендерного проекта /.,2022-11-14,2589395,, &quot; Чайна инжиниринг лимитед &quot;,",  &lt; &lt; Чайна энтропия &gt; &gt;"
481,,"Закупка системы мониторинга радиационной среды на АЭС &lt; &lt; Тэпин &gt; &gt;, Циркуляр результатов, Закупка системы мониторинга радиационной среды на атомных электростанциях в Бен-Пинлинге (Конференция No CGN-20221024005) для определения, Название проекта: Закупка системы мониторинга радиационной среды на АЭС &quot; Тайпин &quot;, Наблюдение за данной тендерной программой",2022-12-06,13890728, Shanghai Ships, &quot; Чайна инжиниринг лимитед &quot;,
482,(Контингент: CGN-20210706005),"200 МВт 8-й ветровой фермы B сектора B на китайском мосту с обозначением в пункте A, 8-й ветряный участок проекта B сектора B 200 МВт на 8-м мосту в Китае (запрос No: CGN-20210706005) для определения этого сегмента, Проект: 8-я ветряная станция B сектора B проекта 200 МВт в Китае, Наблюдение за данной тендерной программой, Покупатель: 2-я ветряная электроэнергия в штате Кангуа",2021-08-12,14420000,, &quot; Чайна инжиниринг лимитед &quot;,
